"~id","~start_node_id","~end_node_id","~relationship_type"
"1155188697583321299","211","2997","WROTE"
"1157440497397006547","211","8788","WROTE"
"1152936897769636053","213","210","WROTE"
"1155188697583321301","213","1235","WROTE"
"1157440497397006549","213","1258","WROTE"
"1159692297210691797","213","1261","WROTE"
"1161944097024377045","213","1303","WROTE"
"1164195896838062293","213","1640","WROTE"
"1166447696651747541","213","1641","WROTE"
"1168699496465432789","213","1741","WROTE"
"1170951296279118037","213","1807","WROTE"
"1173203096092803285","213","2316","WROTE"
"1175454895906488533","213","6938","WROTE"
"1152936897769636056","216","212","WROTE"
"1155188697583321304","216","574","WROTE"
"1157440497397006552","216","6105","WROTE"
"1159692297210691800","216","7675","WROTE"
"1161944097024377048","216","7676","WROTE"
"1164195896838062296","216","7679","WROTE"
"1166447696651747544","216","7685","WROTE"
"1152936897769636058","218","215","WROTE"
"1155188697583321306","218","2594","WROTE"
"1157440497397006554","218","3739","WROTE"
"1159692297210691802","218","3768","WROTE"
"1152936897769636061","221","217","WROTE"
"1155188697583321309","221","303","WROTE"
"1157440497397006557","221","3340","WROTE"
"1159692297210691805","221","6034","WROTE"
"1161944097024377053","221","8888","WROTE"
"1152936897769636064","224","220","WROTE"
"1155188697583321312","224","3869","WROTE"
"1157440497397006560","224","6760","WROTE"
"1159692297210691808","224","6804","WROTE"
"1161944097024377056","224","6809","WROTE"
"1164195896838062304","224","6810","WROTE"
"1166447696651747552","224","9518","WROTE"
"1168699496465432800","224","9519","WROTE"
"1152936897769636067","227","223","WROTE"
"1152936897769636072","232","229","WROTE"
"1155188697583321320","232","1962","WROTE"
"1157440497397006568","232","3604","WROTE"
"1159692297210691816","232","3608","WROTE"
"1161944097024377064","232","3618","WROTE"
"1152936897769636077","237","234","WROTE"
"1152936897769636080","240","236","WROTE"
"1155188697583321328","240","239","WROTE"
"1157440497397006576","240","242","WROTE"
"1159692297210691824","240","244","WROTE"
"1161944097024377072","240","264","WROTE"
"1164195896838062320","240","6063","WROTE"
"1166447696651747568","240","8906","WROTE"
"1168699496465432816","240","8922","WROTE"
"1170951296279118064","240","11274","WROTE"
"1152936897769636089","249","246","WROTE"
"1152936897769636092","252","248","WROTE"
"1155188697583321340","252","251","WROTE"
"1157440497397006588","252","5957","WROTE"
"1159692297210691836","252","5961","WROTE"
"1161944097024377084","252","5968","WROTE"
"1152936897769636099","259","256","WROTE"
"1152936897769636102","262","258","WROTE"
"1155188697583321350","262","6072","WROTE"
"1152936897769636109","269","266","WROTE"
"1152936897769636112","272","268","WROTE"
"1152936897769636117","277","274","WROTE"
"1155188697583321365","277","3431","WROTE"
"1157440497397006613","277","3435","WROTE"
"1159692297210691861","277","3665","WROTE"
"1152936897769636123","283","280","WROTE"
"1155188697583321371","283","2640","WROTE"
"1152936897769636125","285","282","WROTE"
"1152936897769636128","288","284","WROTE"
"1155188697583321376","288","287","WROTE"
"1157440497397006624","288","289","WROTE"
"1159692297210691872","288","291","WROTE"
"1161944097024377120","288","294","WROTE"
"1164195896838062368","288","2830","WROTE"
"1166447696651747616","288","2831","WROTE"
"1152936897769636132","292","290","WROTE"
"1152936897769636139","299","296","WROTE"
"1155188697583321387","299","6135","WROTE"
"1157440497397006635","299","6137","WROTE"
"1159692297210691883","299","6139","WROTE"
